movie_id;category_id
285;12
285;14
285;28
283366;18
283366;14
283366;12
157336;12
157336;18
157336;878
76341;28
76341;12
76341;878
76341;53
87101;878
87101;28
87101;53
87101;12
340837;18
340837;14
340837;27
340837;9648
340837;878
340837;53
419430;9648
419430;53
419430;27
293660;28
293660;12
293660;35
293660;10749
382591;18
382591;35
271110;12
271110;28
271110;878
209112;28
209112;12
209112;14
284052;28
284052;12
284052;14
284052;878
131631;878
131631;12
131631;53
335988;28
335988;878
335988;53
335988;12
244786;10402
244786;18
262500;12
262500;878
262500;53
313369;35
313369;18
313369;10402
313369;10749
240832;28
240832;878
47971;28
47971;12
47971;80
550;18
24428;878
24428;28
24428;12
339846;28
339846;35
329865;53
329865;18
329865;878
329865;9648
155;18
155;28
155;80
155;53
246655;28
246655;12
246655;14
246655;878
228150;10752
228150;18
228150;28
210577;9648
210577;53
210577;18
311324;28
311324;12
311324;14
76338;28
76338;12
76338;14
205596;36
205596;18
205596;53
205596;10752
297761;28
297761;80
297761;14
297761;878
19995;28
19995;12
19995;14
19995;878
180863;80
180863;18
27205;28
27205;53
27205;878
27205;9648
27205;12
324786;18
324786;36
324786;10752
99861;28
99861;12
99861;878
49026;28
49026;80
49026;18
49026;53
122917;28
122917;12
122917;14
140607;28
140607;12
140607;878
140607;14
254128;28
254128;18
254128;53
680;53
680;80
597;18
597;10749
597;53
10195;12
10195;14
10195;28
119450;878
119450;28
119450;18
119450;53
188927;28
188927;12
188927;878
214756;35
284053;28
284053;12
284053;14
284053;878
198663;28
198663;9648
198663;878
198663;53
211672;10751
211672;16
211672;12
211672;35
242582;80
242582;18
242582;53
